PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMS(original)
ABRP,1,1,1_1,B (2.6 - 5),B,0,37119,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,1,1_1,C (5.1 - 10),C,1,37119,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,1,1_1,D (10.1 - 15),D,1,37119,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,1,1_1,E (15.1 - 20),E,0,37119,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,F (20.1 - 25),F,0,37119,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,G (25.1 - 30),G,0,37119,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,1,1_1,H (30.1 - 35),H,0,37119,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,I (35.1 - 40),I,0,37119,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,1,1_1,J (> 40),J,0,37119,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,B (2.6 - 5),B,0,37120,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,2,1_2,C (5.1 - 10),C,2,37120,2001,35194,1996,B-C-D (2.6 - 15),2
ABRP,1,2,1_2,D (10.1 - 15),D,0,37120,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,2,1_2,E (15.1 - 20),E,0,37120,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,F (20.1 - 25),F,0,37120,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,G (25.1 - 30),G,0,37120,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,2,1_2,H (30.1 - 35),H,0,37120,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,I (35.1 - 40),I,0,37120,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,2,1_2,J (> 40),J,0,37120,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,B (2.6 - 5),B,1,37120,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,3,1_3,C (5.1 - 10),C,1,37120,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,3,1_3,D (10.1 - 15),D,0,37120,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,3,1_3,E (15.1 - 20),E,0,37120,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,F (20.1 - 25),F,0,37120,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,G (25.1 - 30),G,0,37120,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,3,1_3,H (30.1 - 35),H,0,37120,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,I (35.1 - 40),I,0,37120,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,3,1_3,J (> 40),J,0,37120,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,B (2.6 - 5),B,0,37124,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,4,1_4,C (5.1 - 10),C,3,37124,2001,35194,1996,B-C-D (2.6 - 15),3
ABRP,1,4,1_4,D (10.1 - 15),D,1,37124,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,4,1_4,E (15.1 - 20),E,0,37124,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,F (20.1 - 25),F,0,37124,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,G (25.1 - 30),G,0,37124,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,4,1_4,H (30.1 - 35),H,0,37124,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,I (35.1 - 40),I,0,37124,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,4,1_4,J (> 40),J,0,37124,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,B (2.6 - 5),B,0,37124,2001,35194,1996,B-C-D (2.6 - 15),0
ABRP,1,5,1_5,C (5.1 - 10),C,2,37124,2001,35194,1996,B-C-D (2.6 - 15),2
ABRP,1,5,1_5,D (10.1 - 15),D,1,37124,2001,35194,1996,B-C-D (2.6 - 15),1
ABRP,1,5,1_5,E (15.1 - 20),E,0,37124,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,F (20.1 - 25),F,0,37124,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,G (25.1 - 30),G,0,37124,2001,35194,1996,E-F-G (15.1 - 30),0
ABRP,1,5,1_5,H (30.1 - 35),H,0,37124,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,I (35.1 - 40),I,0,37124,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,5,1_5,J (> 40),J,0,37124,2001,35194,1996,H-I-J (30.1 - 40+),0
ABRP,1,6,1_6,B (2.6 - 5),B,0,37125,2001,35194,1996,B-C-D (2.6 - 15),0
